Date,Last,Open,High,Low,Volume ,Return
9-Mar-15,1167,1168.9,1174.4,1166.1,NA,-0.0017
8-Mar-15,1169,1169.2,1169.8,1166.7,NA,0.0040
6-Mar-15,1164.3,1197.5,1200,1162.9,NA,-0.0267
5-Mar-15,1196.2,1200.2,1208.9,1195.8,131.86,-0.0039
4-Mar-15,1200.9,1203.8,1208.4,1197.7,107.56,-0.0029
3-Mar-15,1204.4,1206.1,1214.4,1194.6,155.66,-0.0031
2-Mar-15,1208.2,1213.8,1223,1204.2,133.1,-0.0040
27-Feb-15,1213.1,1208.8,1219.2,1204.1,113.77,0.0025
26-Feb-15,1210.1,1203.9,1219.9,1203.4,137.28,0.0072
25-Feb-15,1201.5,1200.8,1211.7,1200.7,106.08,0.0035
24-Feb-15,1197.3,1201.9,1204.4,1190,116.61,-0.0029
23-Feb-15,1200.8,1203.5,1210.3,1190.6,115.22,-0.0034
20-Feb-15,1204.9,1208,1215.3,1197.7,109.25,-0.0022
19-Feb-15,1207.6,1212.5,1222.9,1205.2,115.72,0.0062
18-Feb-15,1200.2,1209.3,1213.4,1197.2,121.13,-0.0070
17-Feb-15,1208.6,1227.5,1236.7,1203.3,181.84,-0.0188
16-Feb-15,1231.7,1228.7,1236.4,1228.5,NA,0.0024
15-Feb-15,1228.8,1228.2,1229.3,1227.8,NA,0.0014
13-Feb-15,1227.1,1223,1234.9,1222.5,96.37,0.0052
12-Feb-15,1220.7,1218.3,1232.8,1218,109.41,0.0009
11-Feb-15,1219.6,1234.1,1238.7,1216.5,116.28,-0.0102
10-Feb-15,1232.2,1238.3,1245.9,1230.6,97.14,-0.0075
9-Feb-15,1241.5,1235.9,1243.6,1234.4,92.65,0.0056
6-Feb-15,1234.6,1266.4,1269,1228.2,205.1,-0.0223
5-Feb-15,1262.7,1270.4,1274.6,1256.1,113.83,-0.0014
4-Feb-15,1264.5,1261.5,1273.3,1256.9,136.18,0.0033
3-Feb-15,1260.3,1275.6,1286.5,1255.8,181.99,-0.0130
2-Feb-15,1276.9,1283,1283.9,1266.5,119.88,-0.0018
30-Jan-15,1279.2,1259,1285.4,1257.5,163.88,0.0186
29-Jan-15,1255.9,1284,1286.6,1252.1,243.65,-0.0243
28-Jan-15,1287.2,1293.5,1294.6,1280.2,150.97,-0.0044
27-Jan-15,1292.9,1281.9,1298.6,1273,90.04,0.0098
26-Jan-15,1280.4,1294,1300.2,1276.6,58.78,-0.0102
23-Jan-15,1293.6,1302.5,1303,1285.4,40.48,-0.0062
22-Jan-15,1301.7,1294.8,1308.8,1280,37.51,0.0054
21-Jan-15,1294.7,1295,1308,1285.7,22.93,-0.0004
20-Jan-15,1295.2,1280.7,1298.1,1273.7,21.76,0.0151
19-Jan-15,1275.9,1279.4,1279.5,1272.5,NA,-0.0024
18-Jan-15,1279,1281,1281.9,1275.7,NA,0.0009
16-Jan-15,1277.9,1264.1,1283.4,1256.2,26.75,0.0096
15-Jan-15,1265.7,1230.8,1268,1227.2,23.03,0.0245
14-Jan-15,1235.4,1232.8,1245.5,1225.8,21.12,0.0001
13-Jan-15,1235.3,1233.9,1245.2,1229.6,21.7,0.0013
12-Jan-15,1233.7,1224.3,1236.6,1218.5,18.28,0.0137
9-Jan-15,1217,1209.6,1224.9,1208.7,17.2,0.0064
8-Jan-15,1209.3,1212.2,1217.1,1205.5,20.77,-0.0018
7-Jan-15,1211.5,1220.2,1220.2,1209.8,8.24,-0.0065
6-Jan-15,1219.4,1204,1223.3,1201.6,190.36,0.0128
5-Jan-15,1204,1187.8,1207.5,1177.8,149.11,0.0150
2-Jan-15,1186.2,1184,1194.9,1167.3,120.68,-0.0005
1-Jan-15,1186.8,1184.1,1187.5,1184.1,NA,0.0023
31-Dec-14,1184.1,1199.8,1203.9,1179.5,70.52,-0.0136
30-Dec-14,1200.4,1182.9,1210.9,1180.5,141.72,0.0157
29-Dec-14,1181.9,1194.9,1197.5,1178.6,85.91,-0.0112
26-Dec-14,1195.3,1175.2,1199.1,1175.2,67.18,0.0155
25-Dec-14,1177,1175,1178.9,1175,NA,0.0030
24-Dec-14,1173.5,1176.8,1181.2,1172.7,43.63,-0.0038
23-Dec-14,1178,1176.1,1184.9,1172.4,105.53,-0.0015
22-Dec-14,1179.8,1196,1203.6,1170.7,132.15,-0.0135
19-Dec-14,1196,1198,1201.5,1193.2,73.33,0.0010
18-Dec-14,1194.8,1189.4,1213.9,1188.5,137.34,0.0003
17-Dec-14,1194.5,1195.3,1203.1,1182,169.51,0.0002
16-Dec-14,1194.3,1195.4,1223.9,1187.8,231.51,-0.0111
15-Dec-14,1207.7,1222,1225,1191.3,152.38,-0.0121
12-Dec-14,1222.5,1227.9,1228.9,1214.8,121.18,-0.0025
11-Dec-14,1225.6,1226.2,1233.4,1216.4,143.67,-0.0031
10-Dec-14,1229.4,1231.2,1238.9,1225.2,143.32,-0.0021
9-Dec-14,1232,1203.8,1239,1199.5,241.26,0.0310
8-Dec-14,1194.9,1191.2,1209.3,1187.3,107.51,0.0038
5-Dec-14,1190.4,1205.9,1208.5,1186.4,157.2,-0.0143
4-Dec-14,1207.7,1209.3,1213.5,1201.1,117.72,-0.0008
3-Dec-14,1208.7,1197.6,1215,1193.5,145.11,0.0078
2-Dec-14,1199.4,1212.6,1212.6,1191.4,169.35,-0.0154
1-Dec-14,1218.1,1159.4,1221,1141.7,342.31,0.0362
28-Nov-14,1175.5,1197.8,1199.3,1163.9,254.47,-0.0112
27-Nov-14,1188.8,1197.3,1199.3,1185.4,NA,-0.0073
26-Nov-14,1197.5,1201.6,1201.6,1194.6,121.78,-0.0003
25-Nov-14,1197.8,1198.2,1203,1190,127.83,0.0010
24-Nov-14,1196.6,1200.7,1204.5,1192.8,71.35,-0.0015
21-Nov-14,1198.4,1194.7,1208.2,1186.7,32.86,0.0058
20-Nov-14,1191.5,1183.8,1197.2,1177,35.25,-0.0026
19-Nov-14,1194.6,1196.2,1202.2,1174.7,41.73,-0.0027
18-Nov-14,1197.8,1186.4,1204.7,1183.7,22.26,0.0114
17-Nov-14,1184.3,1186.3,1194.3,1181.8,26.37,-0.0011
14-Nov-14,1185.6,1161.8,1192.9,1146,293.65,0.0207
13-Nov-14,1161.5,1161.1,1167.4,1153,187.7,0.0021
12-Nov-14,1159.1,1163,1169.4,1156.5,183.58,-0.0034
11-Nov-14,1163,1151.5,1172.5,1145.5,187.31,0.0028
10-Nov-14,1159.8,1176.8,1177.5,1146.7,198.95,-0.0085
7-Nov-14,1169.8,1141.2,1179,1130.4,298.01,0.0238
6-Nov-14,1142.6,1140.8,1149,1137.2,168.56,-0.0027
5-Nov-14,1145.7,1168.4,1169.3,1137.1,261.12,-0.0188
4-Nov-14,1167.7,1164.6,1175,1163.4,134.88,-0.0018
3-Nov-14,1169.8,1171.1,1173.4,1161,129.44,-0.0015
31-Oct-14,1171.6,1199.5,1202.4,1160.5,300.19,-0.0225
30-Oct-14,1198.6,1211.2,1216.5,1195.5,210.42,-0.0215
29-Oct-14,1224.9,1227.8,1230.4,1208.2,131.45,-0.0037
28-Oct-14,1229.4,1225.8,1235.5,1222.2,124.2,0.0001
27-Oct-14,1229.3,1230.6,1232.1,1225.2,86.31,-0.0020
24-Oct-14,1231.8,1233.5,1234.7,1228.7,93.37,0.0022
23-Oct-14,1229.1,1241.7,1244.9,1226.3,140.07,-0.0132
22-Oct-14,1245.5,1248.9,1250.2,1240.7,113.41,-0.0050
21-Oct-14,1251.7,1246.8,1255.6,1245.7,151.08,0.0056
20-Oct-14,1244.7,1239.1,1249.3,1234.9,96.27,0.0046
17-Oct-14,1239,1239.5,1242.1,1232,117.55,-0.0018
16-Oct-14,1241.2,1242.2,1245.6,1235.2,180.59,-0.0029
15-Oct-14,1244.8,1233.3,1250.3,1222,258.1,0.0085
14-Oct-14,1234.3,1237.3,1238.6,1231.1,113.55,0.0035
13-Oct-14,1230,1224.8,1238,1223.6,119.92,0.0068
10-Oct-14,1221.7,1224,1225.7,1217.6,121.36,-0.0029
9-Oct-14,1225.3,1221.1,1234,1219.3,165.36,0.0160
8-Oct-14,1206,1209.8,1224.5,1205.1,192.01,-0.0053
7-Oct-14,1212.4,1207.8,1214.1,1203,142.51,0.0042
6-Oct-14,1207.3,1192,1209.9,1183.3,147.76,0.0121
3-Oct-14,1192.9,1213.9,1215.7,1190.3,186.09,-0.0183
2-Oct-14,1215.1,1213.4,1224,1209.1,148.82,-0.0003
1-Oct-14,1215.5,1209.4,1220,1205,146.54,0.0032
30-Sep-14,1211.6,1215.7,1220.7,1204.3,182.52,-0.0059
29-Sep-14,1218.8,1219.1,1223.9,1215.3,105.76,0.0028
26-Sep-14,1215.4,1222.1,1232.7,1212.8,149.45,-0.0053
25-Sep-14,1221.9,1217.3,1225.3,1206.6,186.35,0.0020
24-Sep-14,1219.5,1223.2,1226.7,1216.2,131.42,-0.0020
23-Sep-14,1222,1214.9,1237,1214.7,153.2,0.0034
22-Sep-14,1217.9,1216.4,1221,1208.8,138.05,0.0011
19-Sep-14,1216.6,1225.6,1229.2,1214.2,173.5,-0.0084
18-Sep-14,1226.9,1223.1,1228.7,1216.3,151.11,-0.0073
17-Sep-14,1235.9,1235.3,1240.5,1222,132.08,-0.0006
16-Sep-14,1236.7,1233.2,1243.2,1232.2,123.28,0.0013
15-Sep-14,1235.1,1228.3,1239.2,1226.3,100.04,0.0029
12-Sep-14,1231.5,1240.9,1242.3,1228.1,140.8,-0.0061
11-Sep-14,1239,1249.8,1251,1235.3,160.68,-0.0051
10-Sep-14,1245.3,1256.2,1258.5,1244.5,140.72,-0.0026
9-Sep-14,1248.5,1257.1,1258.9,1248.1,128.25,-0.0046
8-Sep-14,1254.3,1269.5,1272.6,1252.1,112.68,-0.0103
5-Sep-14,1267.3,1261.7,1274.8,1258,106.17,0.0006
4-Sep-14,1266.5,1269.8,1279.2,1261.3,151.58,-0.0030
3-Sep-14,1270.3,1266.7,1272.4,1261.9,107.91,0.0042
2-Sep-14,1265,1288.5,1290.9,1263.1,190.58,-0.0174
1-Sep-14,1287.4,1287.6,1290.9,1285.9,NA,-0.0002
31-Aug-14,1287.7,1288.5,1289,1286.8,NA,0.0002
29-Aug-14,1287.4,1290.4,1292.5,1284.1,76.39,-0.0023
28-Aug-14,1290.4,1283.7,1297.6,1283,110.17,0.0055
27-Aug-14,1283.4,1281.6,1288.2,1280.9,67.24,-0.0014
26-Aug-14,1285.2,1277.4,1291.9,1275.7,103.85,0.0049
25-Aug-14,1278.9,1280.8,1281.6,1275,53.71,-0.0010
22-Aug-14,1280.2,1278.2,1283.9,1274.6,91.73,0.0038
21-Aug-14,1275.4,1291.9,1292,1273.4,145.35,-0.0153
20-Aug-14,1295.2,1297.2,1299.3,1288.7,83.3,-0.0012
19-Aug-14,1296.7,1298.6,1303.7,1294.7,78.24,-0.0020
18-Aug-14,1299.3,1304.2,1304.9,1296.5,76.11,-0.0053
15-Aug-14,1306.2,1313.4,1316.5,1293,192.11,-0.0072
14-Aug-14,1315.7,1313.4,1321.8,1310,103.42,0.0009
13-Aug-14,1314.5,1309.6,1316.4,1306,98.47,0.0030
12-Aug-14,1310.6,1309.2,1319.3,1306.8,98.61,0.0001
11-Aug-14,1310.5,1310.4,1312.9,1306.4,63.07,-0.0004
8-Aug-14,1311,1314.5,1324.3,1305.7,147.9,-0.0011
7-Aug-14,1312.5,1306.6,1316.4,1303,122.43,0.0033
6-Aug-14,1308.2,1288.9,1311,1288.5,160.37,0.0178
5-Aug-14,1285.3,1289.2,1295,1283.3,105.68,-0.0028
4-Aug-14,1288.9,1295.4,1296.4,1287,67.87,-0.0046
1-Aug-14,1294.8,1284.2,1298.4,1281,144.99,0.0094
31-Jul-14,1282.8,1297,1298.8,1281.3,143.36,-0.0109
30-Jul-14,1296.9,1300.5,1305.2,1293.2,130.87,-0.0028
29-Jul-14,1300.5,1306.7,1314.6,1298,150.85,-0.0041
28-Jul-14,1305.8,1309.2,1311.4,1303.3,57.7,0.0004
25-Jul-14,1305.3,1296,1311,1293,41.67,0.0097
24-Jul-14,1292.7,1306.7,1307,1289.4,33,-0.0106
23-Jul-14,1306.5,1309.2,1313.3,1305.3,18.65,-0.0011
22-Jul-14,1308,1314.8,1318,1304.2,14.37,-0.0057
21-Jul-14,1315.5,1312.2,1320.4,1309.7,17.83,0.0047
18-Jul-14,1309.4,1319.1,1325.5,1305,121.62,-0.0057
17-Jul-14,1316.9,1300.3,1325.9,1298.1,176.74,0.0132
16-Jul-14,1299.8,1295.2,1304.2,1293.5,119.72,0.0021
15-Jul-14,1297.1,1309.1,1314.4,1292.6,175.88,-0.0073
14-Jul-14,1306.7,1339.5,1340.9,1302.2,208.86,-0.0230
11-Jul-14,1337.4,1336.5,1340.4,1334.6,97.17,-0.0013
10-Jul-14,1339.2,1325,1346.8,1325,179.49,0.0113
9-Jul-14,1324.3,1320.4,1333.4,1318.7,163.18,0.0059
8-Jul-14,1316.5,1320.8,1325.7,1314.3,130.08,-0.0004
7-Jul-14,1317,1321.1,1321.7,1312.1,113.07,-0.0033
4-Jul-14,1321.3,1321.1,1324,1319.6,NA,0.0005
3-Jul-14,1320.6,1328.4,1329,1309.4,149.38,-0.0077
2-Jul-14,1330.9,1327.1,1333.2,1322.1,114.09,0.0032
1-Jul-14,1326.6,1327.5,1334.9,1324,121.1,0.0035
30-Jun-14,1322,1316.8,1330.4,1311,127.61,0.0015
27-Jun-14,1320,1317.1,1323.1,1313.2,104.66,0.0023
26-Jun-14,1317,1318.7,1320.6,1306.8,134.79,-0.0042
25-Jun-14,1322.6,1318.9,1325.6,1305.4,136.62,0.0010
24-Jun-14,1321.3,1318.1,1326.6,1314.5,123.88,0.0022
23-Jun-14,1318.4,1314.9,1319.2,1310.4,109.39,0.0014
20-Jun-14,1316.6,1320.3,1322.5,1307.1,167.79,0.0019
19-Jun-14,1314.1,1278.2,1322,1276.2,237.99,0.0325
18-Jun-14,1272.7,1272.1,1279.2,1266.5,87.91,0.0006
17-Jun-14,1272,1271.8,1273.5,1258,112.83,-0.0026
16-Jun-14,1275.3,1276.8,1285.1,1270.5,98.25,0.0009
13-Jun-14,1274.1,1273.4,1278.1,1270.9,83.63,0.0001
12-Jun-14,1274,1261.1,1275.1,1260,117.42,0.0101
11-Jun-14,1261.2,1260.3,1265.5,1257.9,77.04,0.0009
10-Jun-14,1260.1,1252.7,1263.8,1250.1,107.08,0.0049
9-Jun-14,1253.9,1253,1257.3,1251.6,53.77,0.0011
6-Jun-14,1252.5,1253.7,1258.2,1245.7,112.94,-0.0006
5-Jun-14,1253.3,1244.3,1257.9,1241.2,125.57,0.0072
4-Jun-14,1244.3,1244.9,1249.5,1242.8,76.99,-0.0002
3-Jun-14,1244.5,1244.1,1247.9,1240.2,90.05,0.0004
2-Jun-14,1244,1250.5,1251,1241.1,91.4,-0.0016
30-May-14,1246,1255.9,1260.6,1242.2,136.54,-0.0088
29-May-14,1257.1,1258.9,1261.5,1251.4,140.23,-0.0021
28-May-14,1259.7,1264,1267.5,1256.1,134.36,-0.0047
27-May-14,1265.7,1294.3,1294.7,1263.4,90.27,-0.0207
26-May-14,1292.5,1291.6,1294.4,1291.4,NA,0.0006
25-May-14,1291.7,1293.9,1294.2,1291.1,NA,-0.0002
23-May-14,1291.9,1294.4,1295.9,1286.7,78.71,-0.0025
22-May-14,1295.2,1292.1,1304.1,1290.5,18.82,0.0054
21-May-14,1288.3,1294.5,1296.3,1283.3,19.62,-0.0050
20-May-14,1294.8,1292.9,1297.2,1286.2,16.74,0.0006
19-May-14,1294,1293.5,1305.8,1290,7.55,0.0005
16-May-14,1293.4,1296.4,1298.3,1287.7,116.84,-0.0002
15-May-14,1293.6,1305.5,1307.3,1290.9,147.39,-0.0094
14-May-14,1305.9,1293.9,1309.2,1291.6,120.33,0.0086
13-May-14,1294.8,1296,1299,1289.1,120.87,-0.0008
12-May-14,1295.8,1289.8,1304.5,1277.7,130.81,0.0064
9-May-14,1287.6,1289.6,1294.5,1285.5,110.47,-0.0001
8-May-14,1287.7,1289.8,1295.5,1284.8,118.11,-0.0009
7-May-14,1288.9,1307.9,1315,1286.6,173.8,-0.0151
6-May-14,1308.6,1309.7,1314.3,1304.4,103.41,-0.0005
5-May-14,1309.3,1300.9,1315.8,1299.7,115.63,0.0049
2-May-14,1302.9,1284.7,1304.9,1272,171.95,0.0152
1-May-14,1283.4,1291.9,1293,1277.3,115.44,-0.0096
30-Apr-14,1295.9,1295.6,1298.4,1284.9,139.27,-0.0003
29-Apr-14,1296.3,1296,1302,1286.1,103.82,-0.0021
28-Apr-14,1299,1303.2,1306.6,1292.1,102.41,-0.0014
25-Apr-14,1300.8,1293.8,1305.2,1290.4,107.96,0.0079
24-Apr-14,1290.6,1283.9,1299,1268.4,189.29,0.0047
23-Apr-14,1284.6,1284,1289.1,1280.8,98.44,0.0027
22-Apr-14,1281.1,1290.3,1293.1,1275.8,118.73,-0.0057
21-Apr-14,1288.5,1294.9,1302.5,1281.8,101.89,-0.0042
17-Apr-14,1293.9,1302.1,1304.4,1292.8,95.71,-0.0074
16-Apr-14,1303.5,1303.2,1307.1,1293.5,117.47,0.0025
15-Apr-14,1300.3,1326.5,1328.4,1284.4,188.99,-0.0205
14-Apr-14,1327.5,1321,1331.4,1318.7,100.33,0.0064
11-Apr-14,1319,1318.1,1324.2,1314,91.86,-0.0011
10-Apr-14,1320.5,1311.9,1324.9,1311,126.71,0.0112
9-Apr-14,1305.9,1308.5,1315.5,1301.1,125.58,-0.0024
8-Apr-14,1309.1,1296.8,1314.7,1296.8,119.23,0.0083
7-Apr-14,1298.3,1304,1304.8,1295.8,80.28,-0.0040
4-Apr-14,1303.5,1286.6,1307.5,1284.4,145.5,0.0147
3-Apr-14,1284.6,1290.4,1294.2,1281.9,98.67,-0.0048
2-Apr-14,1290.8,1279.6,1294.9,1278.9,124.47,0.0084
1-Apr-14,1280,1284.6,1288.4,1277.4,112.92,-0.0026
31-Mar-14,1283.4,1294.3,1298.8,1282.4,4.12,-0.0080
28-Mar-14,1293.8,1292.2,1299.4,1285.9,65.49,0.0000
27-Mar-14,1293.8,1306.9,1307.4,1289.7,NA,-0.0074
26-Mar-14,1303.4,1315.2,1315.2,1303.4,NA,-0.0061
25-Mar-14,1311.4,1315.5,1315.5,1307.5,0.05,0.0002
24-Mar-14,1311.2,1333,1333,1310.5,0.1,-0.0186
21-Mar-14,1336,1339.1,1339.1,1335,NA,0.0041
20-Mar-14,1330.5,1333.7,1333.7,1325.8,0.07,-0.0081
19-Mar-14,1341.4,1357.1,1358,1332.7,0.06,-0.0130
18-Mar-14,1359,1359.3,1361.8,1353.4,0.04,-0.0101
17-Mar-14,1372.9,1386.1,1391.4,1372.2,0.03,-0.0044
14-Mar-14,1379,1376.1,1386.6,1369.8,0.09,0.0050
13-Mar-14,1372.2,1366.8,1374.5,1366.5,0.02,0.0014
12-Mar-14,1370.3,1349.1,1370.5,1348.7,0.06,0.0177
11-Mar-14,1346.5,1340,1352.4,1338.1,0.05,0.0038
10-Mar-14,1341.4,1336,1344.7,1330.5,0.1,0.0025
7-Mar-14,1338.1,1349.5,1352.7,1329.2,0.1,-0.0101
6-Mar-14,1351.7,1338,1351.7,1333.3,0.06,0.0086
5-Mar-14,1340.2,1334.8,1341,1334.8,0.03,0.0018
4-Mar-14,1337.8,1350.4,1350.4,1332.2,0.08,-0.0091
3-Mar-14,1350.1,1335.9,1354.1,1332.9,0.23,0.0217
