Date,PowerballSales,PBSalesM,PPSales (dollars),PPSalesM,TotalM
8/23/2014,25311554,25.31,2286318,2.29,27.60
8/20/2014,21940568,21.94,2007032,2.01,23.95
8/16/2014,24143578,24.14,2212894,2.21,26.36
8/13/2014,21209742,21.21,1954367,1.95,23.16
8/9/2014,28536954,28.54,2523068,2.52,31.06
8/6/2014,25472092,25.47,2249633,2.25,27.72
8/2/2014,27373050,27.37,2474744,2.47,29.85
7/30/2014,22939004,22.94,2059604,2.06,25.00
7/26/2014,24930534,24.93,2263455,2.26,27.19
7/23/2014,21826228,21.83,1981626,1.98,23.81
7/19/2014,26676210,26.68,2366938,2.37,29.04
7/16/2014,23621466,23.62,2104353,2.10,25.73
7/12/2014,25471908,25.47,2278182,2.28,27.75
7/9/2014,35144148,35.14,2764427,2.76,37.91
7/5/2014,33479402,33.48,2769116,2.77,36.25
7/2/2014,28407434,28.41,2385248,2.39,30.79
6/28/2014,28651984,28.65,2466072,2.47,31.12
6/25/2014,25561176,25.56,2200713,2.20,27.76
6/21/2014,27010302,27.01,2359404,2.36,29.37
6/18/2014,23884472,23.88,2092699,2.09,25.98
6/14/2014,27136016,27.14,2365631,2.37,29.50
6/11/2014,65287158,65.29,4211396,4.21,69.50
6/7/2014,57251954,57.25,3933610,3.93,61.19
6/4/2014,46708576,46.71,3292970,3.29,50.00
5/31/2014,43305488,43.31,3258064,3.26,46.56
5/28/2014,35176564,35.18,2680848,2.68,37.86
5/24/2014,35858982,35.86,2863167,2.86,38.72
5/21/2014,30025930,30.03,2454366,2.45,32.48
5/17/2014,31308206,31.31,2641534,2.64,33.95
5/14/2014,25483670,25.48,2204662,2.20,27.69
5/10/2014,27631562,27.63,2422005,2.42,30.05
5/7/2014,24688484,24.69,2193257,2.19,26.88
5/3/2014,26942550,26.94,2423560,2.42,29.37
4/30/2014,23111638,23.11,2112199,2.11,25.22
4/26/2014,26016988,26.02,2331166,2.33,28.35
4/23/2014,36747102,36.75,2823277,2.82,39.57
4/19/2014,37392468,37.39,2977902,2.98,40.37
4/16/2014,33095206,33.10,2650126,2.65,35.75
4/12/2014,31987612,31.99,2692923,2.69,34.68
4/9/2014,28003954,28.00,2403479,2.40,30.41
4/5/2014,29883772,29.88,2600808,2.60,32.48
4/2/2014,26453016,26.45,2316356,2.32,28.77
3/29/2014,27573672,27.57,2418931,2.42,29.99
3/26/2014,24247664,24.25,2140502,2.14,26.39
3/22/2014,32064856,32.06,2713675,2.71,34.78
3/19/2014,29630474,29.63,2521287,2.52,32.15
3/15/2014,30542376,30.54,2672628,2.67,33.22
3/12/2014,26464444,26.46,2328365,2.33,28.79
3/8/2014,28814004,28.81,2560782,2.56,31.37
3/5/2014,25588276,25.59,2289628,2.29,27.88
3/1/2014,30747816,30.75,2731133,2.73,33.48
2/26/2014,26006844,26.01,2311668,2.31,28.32
2/22/2014,28078212,28.08,2474524,2.47,30.55
2/19/2014,183031022,183.03,9725951,9.73,192.76
2/15/2014,84502534,84.50,5371280,5.37,89.87
2/12/2014,67249908,67.25,4231343,4.23,71.48
2/8/2014,61665430,61.67,4289462,4.29,65.95
2/5/2014,49510642,49.51,3513518,3.51,53.02
2/1/2014,49062416,49.06,3652635,3.65,52.72
1/29/2014,38257408,38.26,2849278,2.85,41.11
1/25/2014,39396676,39.40,3024755,3.02,42.42
1/22/2014,32714630,32.71,2550358,2.55,35.26
1/18/2014,35703424,35.70,2808955,2.81,38.51
1/15/2014,29454450,29.45,2379925,2.38,31.83
1/11/2014,29616924,29.62,2471203,2.47,32.09
1/8/2014,25761674,25.76,2171438,2.17,27.93
1/4/2014,27745090,27.75,2424741,2.42,30.17
1/1/2014,25121630,25.12,2142589,2.14,27.26
12/28/2013,26298198 ,26.30,26298198,26.30,52.60
12/25/2013,27289666 ,27.29,27289666,27.29,54.58
12/21/2013,28986882 ,28.99,28986882,28.99,57.97
12/18/2013,33401446 ,33.40,33401446,33.40,66.80
12/14/2013,35027210 ,35.03,35027210,35.03,70.05
12/11/2013,36818902 ,36.82,36818902,36.82,73.64
12/7/2013,35889328 ,35.89,35889328,35.89,71.78
12/4/2013,29444180 ,29.44,29444180,29.44,58.89
11/30/2013,28693078 ,28.69,28693078,28.69,57.39
11/27/2013,28182982 ,28.18,28182982,28.18,56.37
11/23/2013,29182882 ,29.18,29182882,29.18,58.37
11/20/2013,25934724 ,25.93,25934724,25.93,51.87
11/16/2013,40247988 ,40.25,40247988,40.25,80.50
11/13/2013,34678780 ,34.68,34678780,34.68,69.36
11/9/2013,33853702 ,33.85,33853702,33.85,67.71
11/6/2013,29779240 ,29.78,29779240,29.78,59.56
11/2/2013,32429546 ,32.43,32429546,32.43,64.86
10/30/2013,27830994 ,27.83,27830994,27.83,55.66
10/26/2013,31802548 ,31.80,31802548,31.80,63.61
10/23/2013,58508688 ,58.51,58508688,58.51,117.02
10/19/2013,52089906 ,52.09,52089906,52.09,104.18
10/16/2013,45357682 ,45.36,45357682,45.36,90.72
10/12/2013,44775232 ,44.78,44775232,44.78,89.55
10/9/2013,39054982 ,39.05,39054982,39.05,78.11
10/5/2013,36749138 ,36.75,36749138,36.75,73.50
10/2/2013,31931180 ,31.93,31931180,31.93,63.86
9/28/2013,33923886 ,33.92,33923886,33.92,67.85
9/25/2013,30244738 ,30.24,30244738,30.24,60.49
9/21/2013,32296040 ,32.30,32296040,32.30,64.59
9/18/2013,182773492 ,182.77,182773492,182.77,365.55
9/14/2013,101377126 ,101.38,101377126,101.38,202.75
9/11/2013,73685004 ,73.69,73685004,73.69,147.37
9/7/2013,66736054 ,66.74,66736054,66.74,133.47
9/4/2013,50164254 ,50.16,50164254,50.16,100.33
8/31/2013,52146876 ,52.15,52146876,52.15,104.29
8/28/2013,43157770 ,43.16,43157770,43.16,86.32
8/24/2013,40503768 ,40.50,40503768,40.50,81.01
8/21/2013,34274628 ,34.27,34274628,34.27,68.55
8/17/2013,36149700 ,36.15,36149700,36.15,72.30
8/14/2013,31379796 ,31.38,31379796,31.38,62.76
8/10/2013,32446598 ,32.45,32446598,32.45,64.89
8/7/2013,271009310 ,271.01,271009310,271.01,542.02
8/3/2013,118181040 ,118.18,118181040,118.18,236.36
7/31/2013,82014782 ,82.01,82014782,82.01,164.03
7/27/2013,63365314 ,63.37,63365314,63.37,126.73
7/24/2013,49399020 ,49.40,49399020,49.40,98.80
7/20/2013,47745826 ,47.75,47745826,47.75,95.49
7/17/2013,39692874 ,39.69,39692874,39.69,79.39
7/13/2013,37311468 ,37.31,37311468,37.31,74.62
7/10/2013,31435340 ,31.44,31435340,31.44,62.87
7/6/2013,31729376 ,31.73,31729376,31.73,63.46
7/3/2013,29854872 ,29.85,29854872,29.85,59.71
6/29/2013,31805792 ,31.81,31805792,31.81,63.61
6/26/2013,27700220 ,27.70,27700220,27.70,55.40
6/22/2013,45481288 ,45.48,45481288,45.48,90.96
6/19/2013,39208848 ,39.21,39208848,39.21,78.42
6/15/2013,38313086 ,38.31,38313086,38.31,76.63
6/12/2013,32862694 ,32.86,32862694,32.86,65.73
6/8/2013,36562116 ,36.56,36562116,36.56,73.12
6/5/2013,31356400 ,31.36,31356400,31.36,62.71
6/1/2013,34468992 ,34.47,34468992,34.47,68.94
5/29/2013,29404724 ,29.40,29404724,29.40,58.81
5/25/2013,36490320 ,36.49,36490320,36.49,72.98
5/22/2013,32918966 ,32.92,32918966,32.92,65.84
5/18/2013,464536548 ,464.54,464536548,464.54,929.07
5/15/2013,180270170 ,180.27,180270170,180.27,360.54
5/11/2013,93628856 ,93.63,93628856,93.63,187.26
5/8/2013,77911916 ,77.91,77911916,77.91,155.82
5/4/2013,64234610 ,64.23,64234610,64.23,128.47
5/1/2013,53202316 ,53.20,53202316,53.20,106.40
4/27/2013,51345324 ,51.35,51345324,51.35,102.69
4/24/2013,44278652 ,44.28,44278652,44.28,88.56
4/20/2013,40583804 ,40.58,40583804,40.58,81.17
4/17/2013,35341564 ,35.34,35341564,35.34,70.68
4/13/2013,38358690 ,38.36,38358690,38.36,76.72
4/10/2013,36179774 ,36.18,36179774,36.18,72.36
4/6/2013,31112426 ,31.11,31112426,31.11,62.22
4/3/2013,26346048 ,26.35,26346048,26.35,52.69
3/30/2013,31096232 ,31.10,31096232,31.10,62.19
3/27/2013,25500852 ,25.50,25500852,25.50,51.00
3/23/2013,163192114 ,163.19,163192114,163.19,326.38
3/20/2013,90874110 ,90.87,90874110,90.87,181.75
3/16/2013,74391216 ,74.39,74391216,74.39,148.78
3/13/2013,56579474 ,56.58,56579474,56.58,113.16
3/9/2013,50796970 ,50.80,50796970,50.80,101.59
3/6/2013,43892342 ,43.89,43892342,43.89,87.78
3/2/2013,43763596 ,43.76,43763596,43.76,87.53
2/27/2013,32647780 ,32.65,32647780,32.65,65.30
2/23/2013,33176522 ,33.18,33176522,33.18,66.35
2/20/2013,28879862 ,28.88,28879862,28.88,57.76
2/16/2013,30692128 ,30.69,30692128,30.69,61.38
2/13/2013,26710426 ,26.71,26710426,26.71,53.42
2/9/2013,28398870 ,28.40,28398870,28.40,56.80
2/6/2013,71543588 ,71.54,71543588,71.54,143.09
2/2/2013,57644328 ,57.64,57644328,57.64,115.29
1/30/2013,45706066 ,45.71,45706066,45.71,91.41
1/26/2013,41623138 ,41.62,41623138,41.62,83.25
1/23/2013,35693444 ,35.69,35693444,35.69,71.39
1/19/2013,38918284 ,38.92,38918284,38.92,77.84
1/16/2013,28807756 ,28.81,28807756,28.81,57.62
1/12/2013,29917538 ,29.92,29917538,29.92,59.84
1/9/2013,26614256 ,26.61,26614256,26.61,53.23
1/5/2013,28097510 ,28.10,28097510,28.10,56.20
1/2/2013,24144842 ,24.14,24144842,24.14,48.29
