Date,PowerballSales,PBSalesM
8/23/2014,25311554,25.31
8/20/2014,21940568,21.94
8/16/2014,24143578,24.14
8/13/2014,21209742,21.21
8/9/2014,28536954,28.54
8/6/2014,25472092,25.47
8/2/2014,27373050,27.37
7/30/2014,22939004,22.94
7/26/2014,24930534,24.93
7/23/2014,21826228,21.83
7/19/2014,26676210,26.68
7/16/2014,23621466,23.62
7/12/2014,25471908,25.47
7/9/2014,35144148,35.14
7/5/2014,33479402,33.48
7/2/2014,28407434,28.41
6/28/2014,28651984,28.65
6/25/2014,25561176,25.56
6/21/2014,27010302,27.01
6/18/2014,23884472,23.88
6/14/2014,27136016,27.14
6/11/2014,65287158,65.29
6/7/2014,57251954,57.25
6/4/2014,46708576,46.71
5/31/2014,43305488,43.31
5/28/2014,35176564,35.18
5/24/2014,35858982,35.86
5/21/2014,30025930,30.03
5/17/2014,31308206,31.31
5/14/2014,25483670,25.48
5/10/2014,27631562,27.63
5/7/2014,24688484,24.69
5/3/2014,26942550,26.94
4/30/2014,23111638,23.11
4/26/2014,26016988,26.02
4/23/2014,36747102,36.75
4/19/2014,37392468,37.39
4/16/2014,33095206,33.10
4/12/2014,31987612,31.99
4/9/2014,28003954,28.00
4/5/2014,29883772,29.88
4/2/2014,26453016,26.45
3/29/2014,27573672,27.57
3/26/2014,24247664,24.25
3/22/2014,32064856,32.06
3/19/2014,29630474,29.63
3/15/2014,30542376,30.54
3/12/2014,26464444,26.46
3/8/2014,28814004,28.81
3/5/2014,25588276,25.59
3/1/2014,30747816,30.75
2/26/2014,26006844,26.01
2/22/2014,28078212,28.08
2/19/2014,183031022,183.03
2/15/2014,84502534,84.50
2/12/2014,67249908,67.25
2/8/2014,61665430,61.67
2/5/2014,49510642,49.51
2/1/2014,49062416,49.06
1/29/2014,38257408,38.26
1/25/2014,39396676,39.40
1/22/2014,32714630,32.71
1/18/2014,35703424,35.70
1/15/2014,29454450,29.45
1/11/2014,29616924,29.62
1/8/2014,25761674,25.76
1/4/2014,27745090,27.75
1/1/2014,25121630,25.12
12/28/2013,26298198 ,26.30
12/25/2013,27289666 ,27.29
12/21/2013,28986882 ,28.99
12/18/2013,33401446 ,33.40
12/14/2013,35027210 ,35.03
12/11/2013,36818902 ,36.82
12/7/2013,35889328 ,35.89
12/4/2013,29444180 ,29.44
11/30/2013,28693078 ,28.69
11/27/2013,28182982 ,28.18
11/23/2013,29182882 ,29.18
11/20/2013,25934724 ,25.93
11/16/2013,40247988 ,40.25
11/13/2013,34678780 ,34.68
11/9/2013,33853702 ,33.85
11/6/2013,29779240 ,29.78
11/2/2013,32429546 ,32.43
10/30/2013,27830994 ,27.83
10/26/2013,31802548 ,31.80
10/23/2013,58508688 ,58.51
10/19/2013,52089906 ,52.09
10/16/2013,45357682 ,45.36
10/12/2013,44775232 ,44.78
10/9/2013,39054982 ,39.05
10/5/2013,36749138 ,36.75
10/2/2013,31931180 ,31.93
9/28/2013,33923886 ,33.92
9/25/2013,30244738 ,30.24
9/21/2013,32296040 ,32.30
9/18/2013,182773492 ,182.77
9/14/2013,101377126 ,101.38
9/11/2013,73685004 ,73.69
9/7/2013,66736054 ,66.74
9/4/2013,50164254 ,50.16
8/31/2013,52146876 ,52.15
8/28/2013,43157770 ,43.16
8/24/2013,40503768 ,40.50
8/21/2013,34274628 ,34.27
8/17/2013,36149700 ,36.15
8/14/2013,31379796 ,31.38
8/10/2013,32446598 ,32.45
8/7/2013,271009310 ,271.01
8/3/2013,118181040 ,118.18
7/31/2013,82014782 ,82.01
7/27/2013,63365314 ,63.37
7/24/2013,49399020 ,49.40
7/20/2013,47745826 ,47.75
7/17/2013,39692874 ,39.69
7/13/2013,37311468 ,37.31
7/10/2013,31435340 ,31.44
7/6/2013,31729376 ,31.73
7/3/2013,29854872 ,29.85
6/29/2013,31805792 ,31.81
6/26/2013,27700220 ,27.70
6/22/2013,45481288 ,45.48
6/19/2013,39208848 ,39.21
6/15/2013,38313086 ,38.31
6/12/2013,32862694 ,32.86
6/8/2013,36562116 ,36.56
6/5/2013,31356400 ,31.36
6/1/2013,34468992 ,34.47
5/29/2013,29404724 ,29.40
5/25/2013,36490320 ,36.49
5/22/2013,32918966 ,32.92
5/18/2013,464536548 ,464.54
5/15/2013,180270170 ,180.27
5/11/2013,93628856 ,93.63
5/8/2013,77911916 ,77.91
5/4/2013,64234610 ,64.23
5/1/2013,53202316 ,53.20
4/27/2013,51345324 ,51.35
4/24/2013,44278652 ,44.28
4/20/2013,40583804 ,40.58
4/17/2013,35341564 ,35.34
4/13/2013,38358690 ,38.36
4/10/2013,36179774 ,36.18
4/6/2013,31112426 ,31.11
4/3/2013,26346048 ,26.35
3/30/2013,31096232 ,31.10
3/27/2013,25500852 ,25.50
3/23/2013,163192114 ,163.19
3/20/2013,90874110 ,90.87
3/16/2013,74391216 ,74.39
3/13/2013,56579474 ,56.58
3/9/2013,50796970 ,50.80
3/6/2013,43892342 ,43.89
3/2/2013,43763596 ,43.76
2/27/2013,32647780 ,32.65
2/23/2013,33176522 ,33.18
2/20/2013,28879862 ,28.88
2/16/2013,30692128 ,30.69
2/13/2013,26710426 ,26.71
2/9/2013,28398870 ,28.40
2/6/2013,71543588 ,71.54
2/2/2013,57644328 ,57.64
1/30/2013,45706066 ,45.71
1/26/2013,41623138 ,41.62
1/23/2013,35693444 ,35.69
1/19/2013,38918284 ,38.92
1/16/2013,28807756 ,28.81
1/12/2013,29917538 ,29.92
1/9/2013,26614256 ,26.61
1/5/2013,28097510 ,28.10
1/2/2013,24144842 ,24.14
